2024-10-09 09:27:42.194 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.194 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.207 [main] INFO  o.a.d.config.spring.context.DubboSpringInitializer -  [DUBBO] Use default application: Dubbo Application[1.1](unknown), dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.207 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.1.1] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.212 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.216 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.217 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.217 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.217 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.219 [main] INFO  o.a.d.config.spring.context.DubboSpringInitializer -  [DUBBO] Use default module model of target application: Dubbo Module[1.1.1], dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:27:42.219 [main] INFO  o.a.d.config.spring.context.DubboSpringInitializer -  [DUBBO] Bind Dubbo Module[1.1.1] to spring container: org.springframework.beans.factory.support.DefaultListableBeanFactory@3574e198, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:10.414 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\高志伟\nacos\config
2024-10-09 09:29:10.443 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-kd-platform.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-kd-platform,DEFAULT_GROUP'}]
2024-10-09 09:29:10.459 [main] INFO  org.action.KdHandler - No active profile set, falling back to 1 default profile: "default"
2024-10-09 09:29:10.924 [main] INFO  org.apache.dubbo.rpc.model.FrameworkModel -  [DUBBO] Dubbo Framework[1] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:10.938 [main] INFO  o.a.d.common.resource.GlobalResourcesRepository -  [DUBBO] Creating global shared handler ..., dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.001 [main] INFO  org.apache.dubbo.rpc.model.ApplicationModel -  [DUBBO] Dubbo Application[1.0](unknown) is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.001 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.0.0] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.046 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.046 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.058 [main] INFO  o.a.dubbo.common.utils.SerializeSecurityManager -  [DUBBO] Serialize check serializable: true, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.060 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.074 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.075 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.100 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.183 [main] INFO  org.apache.dubbo.rpc.model.ApplicationModel -  [DUBBO] Dubbo Application[1.1](unknown) is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.183 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.1.0] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.191 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.191 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:29:11.195 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
